date,merchant,amount,screen_time_minutes,top_screen_app
2026-01-02,Swiggy,₹245,417,WhatsApp
2026-01-03,Zomato,₹320,147,Instagram
2026-01-05,Amazon,₹899,102,WhatsApp
2026-01-08,Swiggy,₹180,469,Spotify
2026-01-10,Flipkart,"₹1,250",230,Chrome
2026-01-12,Zomato,₹450,215,YouTube
2026-01-15,Swiggy,₹275,204,Instagram
2026-01-18,Amazon,₹650,161,WhatsApp
2026-01-20,Zomato,₹310,467,Chrome
2026-01-22,Flipkart,₹799,142,Chrome
2026-01-25,Swiggy,₹220,436,Instagram
2026-01-28,Amazon,₹499,469,Instagram
2026-02-02,Zomato,₹350,369,Chrome
2026-02-05,Swiggy,₹290,134,YouTube
2026-02-08,Amazon,"₹1,200",392,YouTube
2026-02-11,Flipkart,₹950,306,WhatsApp
2026-02-14,Zomato,₹410,106,YouTube
2026-02-17,Swiggy,₹190,105,Chrome
2026-02-20,Amazon,₹750,137,Chrome
2026-02-23,Flipkart,₹620,201,Spotify
2026-03-01,Swiggy,₹260,209,Chrome
2026-03-04,Zomato,₹380,348,YouTube
2026-03-07,Amazon,₹890,398,WhatsApp
2026-03-10,Flipkart,"₹1,100",103,Spotify
2026-03-13,Swiggy,₹210,377,YouTube
2026-03-16,Zomato,₹340,191,WhatsApp
2026-03-19,Amazon,₹560,456,YouTube
2026-03-22,Flipkart,₹850,422,Spotify
2026-03-25,Swiggy,₹300,449,Chrome
2026-03-28,Zomato,₹425,369,Spotify
